91,3,543,164,239,546,1,-1,-1,-1
92,3,543,164,239,546,1,-1,-1,-1
93,3,543,164,239,546,1,-1,-1,-1
94,3,543,164,240,546,1,-1,-1,-1
94,1,1174,89,128,359,1,-1,-1,-1
95,3,543,164,240,545,1,-1,-1,-1
95,1,1161,91,134,367,1,-1,-1,-1
96,3,543,164,239,545,1,-1,-1,-1
96,1,1151,94,139,376,1,-1,-1,-1
97,3,542,164,240,545,1,-1,-1,-1
97,1,1142,95,139,383,1,-1,-1,-1
98,3,542,164,240,546,1,-1,-1,-1
98,4,1264,41,48,113,1,-1,-1,-1
99,3,541,164,241,546,1,-1,-1,-1
100,3,541,164,241,546,1,-1,-1,-1
101,3,540,164,242,546,1,-1,-1,-1
102,3,540,164,242,546,1,-1,-1,-1
102,1,1108,107,151,426,1,-1,-1,-1
103,3,540,164,242,546,1,-1,-1,-1
103,1,1107,107,158,436,1,-1,-1,-1
104,3,539,164,243,546,1,-1,-1,-1
104,1,1102,104,168,445,1,-1,-1,-1
105,3,539,164,243,546,1,-1,-1,-1
105,1,1098,103,182,450,1,-1,-1,-1
106,3,540,164,243,546,1,-1,-1,-1
107,3,540,164,243,545,1,-1,-1,-1
108,3,540,164,243,545,1,-1,-1,-1
109,3,539,164,243,546,1,-1,-1,-1
109,1,1040,110,198,471,1,-1,-1,-1
110,3,537,164,244,545,1,-1,-1,-1
110,1,1029,109,190,475,1,-1,-1,-1
111,3,532,165,245,545,1,-1,-1,-1
111,1,1018,108,183,479,1,-1,-1,-1
112,3,525,165,241,544,1,-1,-1,-1
112,1,1008,110,178,483,1,-1,-1,-1
113,3,516,163,234,544,1,-1,-1,-1
114,3,510,162,232,545,1,-1,-1,-1
115,3,507,161,231,546,1,-1,-1,-1
116,3,503,161,230,547,1,-1,-1,-1
117,3,500,160,230,547,1,-1,-1,-1
118,3,499,157,231,546,1,-1,-1,-1
119,3,498,154,232,541,1,-1,-1,-1
120,3,490,153,237,538,1,-1,-1,-1
121,3,485,152,242,536,1,-1,-1,-1
121,1,833,160,201,567,1,-1,-1,-1
122,3,480,152,246,534,1,-1,-1,-1
122,1,806,164,202,577,1,-1,-1,-1
123,3,478,153,249,533,1,-1,-1,-1
123,1,786,166,203,580,1,-1,-1,-1
123,5,1061,119,191,526,1,-1,-1,-1
124,5,1043,118,195,541,1,-1,-1,-1
124,3,475,153,253,532,1,-1,-1,-1
124,1,764,173,208,576,1,-1,-1,-1
124,6,1165,108,96,226,1,-1,-1,-1
125,5,1027,115,202,551,1,-1,-1,-1
125,1,746,178,211,568,1,-1,-1,-1
126,5,1010,125,213,579,1,-1,-1,-1
126,1,730,188,215,558,1,-1,-1,-1
127,5,987,138,222,606,1,-1,-1,-1
127,1,698,201,223,575,1,-1,-1,-1
128,3,472,154,260,532,1,-1,-1,-1
128,1,668,203,234,592,1,-1,-1,-1
129,3,467,154,253,531,1,-1,-1,-1
129,1,634,216,241,595,1,-1,-1,-1
130,3,463,155,243,530,1,-1,-1,-1
130,1,597,223,246,595,1,-1,-1,-1
131,1,545,236,257,612,1,-1,-1,-1
132,1,505,242,276,625,1,-1,-1,-1
133,5,834,138,248,639,1,-1,-1,-1
134,5,793,129,239,629,1,-1,-1,-1
134,1,505,221,235,511,1,-1,-1,-1
135,1,470,233,242,528,1,-1,-1,-1
136,3,532,160,198,476,1,-1,-1,-1
137,3,521,162,206,486,1,-1,-1,-1
137,7,1130,126,181,521,1,-1,-1,-1
138,7,1110,125,184,531,1,-1,-1,-1
138,3,504,163,216,495,1,-1,-1,-1
139,5,643,151,250,629,1,-1,-1,-1
139,7,1094,124,185,537,1,-1,-1,-1
139,3,490,166,221,506,1,-1,-1,-1
140,5,612,157,249,624,1,-1,-1,-1
140,7,1074,124,191,541,1,-1,-1,-1
140,3,484,164,225,513,1,-1,-1,-1
141,5,575,163,239,618,1,-1,-1,-1
141,7,1047,130,201,550,1,-1,-1,-1
141,3,473,162,212,516,1,-1,-1,-1
142,5,536,157,246,621,1,-1,-1,-1
142,7,1025,131,201,561,1,-1,-1,-1
143,5,520,164,250,617,1,-1,-1,-1
143,7,1005,131,201,567,1,-1,-1,-1
144,5,500,167,255,613,1,-1,-1,-1
144,7,985,133,204,580,1,-1,-1,-1
145,5,478,169,251,608,1,-1,-1,-1
145,7,963,140,207,594,1,-1,-1,-1
146,5,439,172,255,599,1,-1,-1,-1
146,3,542,162,189,473,1,-1,-1,-1
147,3,535,165,191,481,1,-1,-1,-1
148,3,527,165,198,488,1,-1,-1,-1
149,8,601,203,242,626,1,-1,-1,-1
150,8,565,211,253,636,1,-1,-1,-1
151,8,529,214,272,644,1,-1,-1,-1
152,8,492,214,278,647,1,-1,-1,-1
153,8,424,220,276,644,1,-1,-1,-1
154,8,385,227,282,639,1,-1,-1,-1
155,3,519,174,209,501,1,-1,-1,-1
156,3,516,159,196,490,1,-1,-1,-1
159,7,531,187,239,656,1,-1,-1,-1
164,3,680,170,219,538,1,-1,-1,-1
182,3,1160,87,126,354,1,-1,-1,-1
188,3,1193,71,104,290,1,-1,-1,-1
189,3,1193,72,104,286,1,-1,-1,-1
190,3,1196,71,101,281,1,-1,-1,-1
191,3,1202,65,96,268,1,-1,-1,-1
197,3,1228,62,81,226,1,-1,-1,-1
198,3,1230,63,81,224,1,-1,-1,-1
203,3,1257,61,72,207,1,-1,-1,-1
270,3,1206,46,96,251,1,-1,-1,-1
286,3,1221,83,110,312,1,-1,-1,-1
287,3,1226,82,112,315,1,-1,-1,-1
288,3,1227,88,116,322,1,-1,-1,-1
289,3,1224,91,120,329,1,-1,-1,-1
290,3,1220,93,124,334,1,-1,-1,-1
291,3,1216,93,123,338,1,-1,-1,-1
292,3,1212,94,123,343,1,-1,-1,-1
298,3,1168,102,143,374,1,-1,-1,-1
299,3,1161,101,149,376,1,-1,-1,-1
300,3,1157,101,154,377,1,-1,-1,-1
301,3,1155,100,157,378,1,-1,-1,-1
302,3,1154,100,158,379,1,-1,-1,-1
